review_year,review_month,review_text
2021,Aug,"Awesome slopes for all levels of experience. Really well set up, with the base area for rental/toilets/storage/cafe etc. Good ski lifts, plenty of options. While there's car parks, the road up there is a bit dicey when its snowing/icy, my advice is to use the town Snow Center bus service, which is fantastic! Dont bother driving!"
2021,Jul,"The Remarkables is a really wonderful day out if you are visiting Queenstown to ski or snowboard, the snow is definitely better there than at Coronet Peak if you’re struggling to choose. We had a snowboard lesson with Adam (I think!) and he was absolutely amazing. Our experience in the cafe area was not so good, except the barista’s - they are amazing, and make such good coffees! The manager, I think her name is Alex, was nothing but rude and abrupt whilst I was with my family, trying to rush us through the queue. It wasn’t a busy day and I felt her attitude was disgusting. Definitely would be bringing my own food and drinks on any future visits. Overall experience at the remarkables was great, smooth and consistent transport from town makes it easy to get there and back too so would definitely do this instead of risking driving up in bad conditions!"
2021,Jul,"We always thought the Remarkables was for advanced skiers, but there was a great mix for all levels. The snow was soft and perfect for our kids who were beginners. The double lane magic carpets were under cover too... a binus for cold kids."
2021,Aug,"Wow. Let me tell you about this lady Alexis in F&B. She is amazing. Her helpfulness just blew me away. I was just up there to drink a coffee, not even ski, and I watched her lead her team with such stern kindness it made my heart swell up. Then, I saw her slinging sangas at the ice bar the very next day! Is there nothing this woman can't do?! Jacinda who?! 10/10 would go back. Huge fan."
2021,Jul,"We tried skiing for the first time at the Remarkables and took the group lessons. On our second day, we were very fortunate to have Lewis Barton as our instructor. He was very experienced, gave excellent advice that was easy to follow and was incredible at building confidence. We progressed so much (and our confidence grew so much) under the guidance of Lewis. We would highly recommend Lewis for anyone looking to book private ski lessons."
2021,Jun,"Great for those a little more experienced ! There was plenty to do as a beginner eg. The lookout, restaurant, the beginners run. The snow quality was the best we had seen, a definite if going snowboarding"
2021,July,"Really poor organisation. When their lack of effective management results in a child with a broken wrist and a ruined holiday, with not a word out of NZSki. You realize that this company does not care for their clients. We booked 2 kids into the beginners ski school. It took over 30 mins just to receive the kids. We went for a ride and returned 30mins later to see that they had done nothing with the kids. Another run and I returned and could not find either kids. I found my 5yr old in tears in the kindy area as she was bored and nothing had been done. I eventually found someone to give her a push. A complete waste of money. The 8 yr old was also unsupervised and had fallen over trying to get into her skis. The result was a trip down to the hospital and x-rays and an arm on a cast. Day ruined. Holiday ruined. Naturally the kids were not interested in going back to the mountain which means that due to NZSki lack of management an expensive ski holiday was now ruined. To date, nobody from NZSki has responded to my complaint."
2021,April,"A spectacular drive in summer, with incredible views"
2020,September,"Great private lesson this morning with Ash. Good tips and some homework. Highly recommend him"
2020,September,"Good access from Queenstown. Well groomed slopes with varying degrees of difficulty. Good restaurant facilities. Friendly staff."
2021,Jul,"Ended up visiting the Remarkables when we weren't too sure what to expect. Lovely drive up the mountain and beautiful scenery. Ended up at the top car park and wandered to the ski field. We definitely aren't skiers but it was great to go there and it was buzzing with excitement. Saw a few cars get a bit stuck so wouldn't go there without chains."
2021,Jul,"As a non-skiing family who just wanted to give our kids some fun in the snow we thought a trip up to The Remarkables where they have tobogganing and a 'snow fun' area would be ideal...but sadly not. After misinterpreting the 'free shuttle bus from our carparks' we drove to their carpark (at the bottom of the hill) only to find that carpark required $15 from each of us to take the bus up...the same fare we could have paid in town. We then waited over 30 minutes for a bus, which arrived with only 2 empty seats (there were 4 of us). While that bus was collecting 2 passengers a totally empty bus drove past the rest of us (about 15 people) and went up the mountain EMPTY! After another 10 minutes a bus turned up and were on our way (after a delay when our barcodes couldn't be read by the driver's scanner, resulting in quite a lot of swearing in front of our kids...not impressed.) However the journey up was spectacular...great views. When we got to the top we collected our toboggans ($30 EACH...for the same kind you can get at Kmart for $20) and went to find the snow play / toboggan area. It took some finding, partly through really poor signage, but also because it's TINY. One miniscule toboggan run and NOTHING ELSE. Seriously, the run is about 40m long and 5m wide. My kids did it 3 or 4 times and that was enough. So, back down to the main building where we had a further $25 extracted for a can of soft drink, a coffee, a tea and 2 small portions of hot chips...all with the added bonus of needing to queue twice for more than 10 minutes each time (hot drinks are served from a different place to chips and soft drinks you see) The cafeteria (yes, that's the best way to describe it) was PACKED. Having finished our refreshments we felt it was probably time to leave. It was 1.30pm and we'd been told that's when the buses would start to go down the mountain. We got to the buses just before 1.30 and were told that the first bus would only be going to hotels in town (the fact that it was half empty and had to go through the carpark at the bottom of the hill was logic which escaped the driver, so our 1.30 bus eventually became a 2.10 bus. So, $145 for a family day out involving a bus ride, 400m on a toboggan and some underwhelming refreshments. I'm sure that if skiing is your thing then The Remarkables is a good place to spend a day. However, if it's not, don't believe the website that it's a great place for a family day trip. It feels like an exercise in emptying your wallet from start to finish and with really poorly organised fundamentals (transport, signage, food) thrown in for good measure."
2021,Jun,"Very good ski resort with magnificent views. Instructor Hannah is very good and patient. Good beginner area, went up to the Alta lift, one part is a bit steep, I slipped but was ok, needs more practice. Very busy on the mountain but still has room to ski well. All the staff is very helpful and store own ski on the mountain overnight."
2021,Jul,"Great ski field, Miro the instructor was terrific, encouraging but pushing us to get better and friendly and fun too. I’m so glad I did my very first lesson with him (after 30+ years of skiing). The experience in every way was superior to north island skiing options, from the short waits at the lifts to being able to get a table to sit at during lunchtime, to the well-designed buildings and traffic-flow and the mountain was amazing, best skiing, we loved it."
2021,Jun,"I went with my wife and daughter who is a beginner. The ski field is excellent for beginners, plenty of easy runs. The down side is there are 3 runs which join into 1, some people are moving very fast coming from the experience run into the beginner run. This was ok as there were not many people I would not like to be there when it’s busy. For the bus best go into Queenstown at the station and catch from there. Get there early, plenty of buses coming back."
2021,Jun,"Staff were so accomodating, empathetic & helpful! my daughter at start of lessons wanted to change from snowboarding to skiing: Nicky took over to assist. I slipped on slopes, fractured my wrist & response from staff Will & Will were amazing before releasing me to calming care of Dr Katie& med staff. Customer service fully refunded my lessons & lift passes without a fuss. So good!"
2021,Jul,"Worst resort in Nz. Do not go.90 mins wait to catch a bus up, even though they encourage you to catch it 45 min wait for any food Lifting don’t organise chairs to max capacity and lower queues Lessons teachers don’t care and just do the “easy play” with kids and don’t actually teach them anythingWhole place is totally unprepared for people and lacks care. Don’t bother visiting. I won’t ever return."
2020,Jul,"Hired a car and hired some chains. Thought I would do my bit for the struggling tourism sector to ""support local"". I had visited Coronet Peak a few years ago and a lovely British expat worker had graciously helped us fit the chains to our 2WD in the chain bay. As for Sunday 4th July 2020 at The Remarkables? A big fat NO. We were so excited to support the local economy and the guys being employed here post-COVID. Also excited to come skiing on opening weekend. But the rude and arrogant chain attendant (white, male, kiwi accent) kept shouting at us that we were doing it wrong and then kept returning to the road to direct other traffic. Refused to assist. So my questions to The Remarkables management are: 1. Why hire someone so rude to vulnerable tourists when there are thousands of better applicants waiting, jobless, to do a better job? 2. Why roster only a single person to be in the chain bay when there should be at least four people rostered on, for opening weekend? 3. Why put up an abrasive notice on your website ""we do not have a chain fitting service this year"" when it is opening weekend after months of lockdown and the industry needs desperately to impress tourists? 4. Why charge so much for lift passes if you can't even hire or roster enough staff for basic health and safety? 5. Why risk losing your Tourism NZ license for rude and arrogant behaviour towards tourists who are trying desperately to support your enterprise? I cannot believe that the local Chamber of Commerce, local Mayors and members of parliament can continue to support The Renarkabkes Ski Fields unless radical changes are made and apologies given to tourists. Remember, tourists are gold. Treat us with a bit more respect!"
2020,Jun,"This place lives up to its reputation as one of the best ski fields in New Zealand. Good variety of track difficulties and terrains. Snow is very reliable throughout winter."
2020,Jan,"A short drive out of Queenstown and you reach the turn off for the Remarkables Ski Area, the drive up is like a Swiss alpine pass, with narrow hair pin turns, and the most amazing views across Lake Wakatipu, Shotover valley, and Queenstown, all across the mountains. It is a bit of a hair raising drive, but well worth the stunning scenery. You can reach the top in around about 45 minutes."
2020,Jan,"The walk up to Lake Alta was a little tough but the patches of ""summer snow"" were enough to keen my kids (from the tropics) entertained with snowball fights. I got super lucky and someone let me take there Stand Up Paddle Board for a spin around the lake. A memory that will last with me forever."
