review_year,review_month,review_text
2022,March,Facilities are top standard and clean. Chair lifts are fast and maintained well. Staff are friendly and professional.
2021,July,Stay away
2022,May,Free bus shuttle in the morning and from 1:30 in the afternoon back down :)
2021,October,yeah do big ski jump
2022,March,Went up on the Chondola sightseeing and had some spectacular views in a beautiful day.
2022,June,"After skiing in countries such as Japan and Australia, I can say with some certainty there is something odd here at Cadrona. On entering, we followed signs towards the main office, but after being ushered to a lower car park we ended up walking 200 metres in ski gear. The ticket office was hard to find when we finally arrived. Again at lunchtime, we had trouble finding the cafeteria and amenities. No scenic views from the cafe- we were in a black box! Enjoyed my day, a good run and friendly staff but I had to say there's some poor management with the journey to and from facilities. In terms of the facilities, the alpine experience is lost. Better parking and signage systems are needed. Very disorientating. three stars"
2021,July,"Great ski field, staff are friendly!"
2022,March,"Rental process was a cinch, staff are great, helpful and knowledgeable. Snow was ...snowy !"
2022,June,Fun skiing beautiful snow and a good amount for this time of year. No que!!! Fantastic
2022,April,"Busy, busy, busy and busy. Welcome to Crowdrona. Good slopes though."
2021,November,We came as a group to do the Karting. What a hoot!!!! Soooo much fun!!!
2021,July,"Top facilities, helpful team in the rentals and ticketing. We had a brilliant day up there despite the not so brilliant weather. So nice that it was quite quiet, it felt like we had the mountain to ourselves."
2022,March,Only was on the learners area but loved every second. Very helpful staff and good food at the noodle bar
2022,April,the snow is icy so when you're skiing your legs and skis vibrate and its quite uncomfortable
2021,July,Best ski field in NZ. Great dining options + facilities. They've handled the covid restrictions brilliantly + should be commended for this as its not an easy task in some parts of a ski resort. Highly recommend.
2021,September,"Bryannah looking after the apartments was amazing! We are locals to Wanaka but wanted to stay the night to make our visit extra special.  We were SO WELL LOOKED AFTER by everyone we encountered."
2021,September,"The apartment team have cancelled our annual booking as Australianâ€™s want the apartment next year. Why do Australian tourists have priority over New Zealanders?"
2021,August,"I wanted to send a big shout out to one of your snow board instructors Leonie. She ran my sons Low Riders group and was absolutely amazing. She managed to gain and retain the kids focus, built a gorgeous connection with them and my son came on leaps and bounds in his skill level. To top it all off Leonie kindly found and returned to me a lost helmet and gloves which I accidentally left on the bus.  Talk about going over and above!!"
2021,July,"I booked a 2 hour private lesson  on my visit to Cardrona because it had been 20 years since I had been on a Snowboard. I feel very lucky to have had Leonie as my instructor because she was not only able to help me regain my confidence and sharpen my techniques, but her detailed knowledge of the mountain and itsâ€™ runs was invaluable in the cloud covered (fogged) conditions. She knew every bump and ledge, I felt safe throughout my entire lesson and I would recommend her to anyone."
2020,August,"Despite the challenges caused by Covid the team have been great with very quick communication and customer centric approach. Thank you for a great customer experience."
2020,August,"Last day staying here and it's been great. Spectacular views and first in the queue.  Thank you to the house keeping team for looking after us. Definitely looking forward to staying here again."
